mbr+ brp
7249 5
3895 7
5660 6
8374 5
4510 4
6849 2
870 9
1114 8
4401 7
4093 1
8353 5
8331 3
710 6
7583 7
1910 6
6622 2
237 2
9078 8
341 4
7946 4
2593 4
643 7
8593 7
7164 2
770 6
9360 2
6434 6
5553 9
1979 2
9418 6
5519 9
9712 5
1486 6
2629 4
9942 9
9691 7
7997 5
242 5
5926 1
8760 7
6676 1
661 1
7842 4
3185 2
4886 4
8521 5
8075 3
5200 1
9300 8
4991 2
2883 5
1383 4
3129 1
1591 7
8528 7
4330 6
3100 7
188 3
5508 6
2087 6
8228 5
6463 6
3844 5
9999 2
2804 8
7515 7
3588 7
4668 6
6040 2
1983 6
6132 1
5510 7
1958 3
6841 1
5869 9
5079 3
7531 7
7598 8
6360 7
842 2
8095 3
1048 1
3538 2
689 6
5043 3
5743 9
2383 2
5403 5
7226 3
5555 2
5028 6
9545 4
8710 1
8247 6
7237 7
6812 8
9792 4
1272 1
9993 3
9122 7
9483 9
8677 3
782 5
8888 8
878 8
2177 8
600 3
7734 8
6735 4
5566 7
5461 5
5095 2
4078 8
6227 5
2079 7
5832 1
7192 3
8804 8
1405 9
6064 3
5711 5
9355 3
9609 2
5156 8
1531 7
9537 3
2359 4
7400 8
9156 9
5882 7
4823 5
8292 1
8896 1
4792 5
9772 4
9532 2
8025 7
8140 6
4497 9
3860 4
3927 5
825 4
3524 8
3614 7
9120 7
5264 2
5458 1
9278 7
9858 4
3167 5
1728 7
6544 2
165 7
8846 6
7658 9
3965 5
6454 7
5911 4
1351 9
3268 6
8962 2
474 7
8676 9
1401 7
7617 1
419 4
6696 9
1708 5
235 7
2891 5
7316 1
3901 2
3214 6
636 7
9024 2
1094 7
19 4
178 3
8033 4
9577 9
3867 5
7241 6
6907 9
7693 4
4612 9
3437 6
4029 9
5293 5
8046 2
2545 3
7436 6
7036 1
7684 1
3555 8
7345 2
6691 2
6100 3
4816 2
8098 9
135 3
2310 6
7439 8
2371 5
6431 9
2772 3
1935 2
731 9
4936 8
9005 6
2845 6
7847 8
9862 8
8168 6
1933 1
2668 7
4771 2
2797 1
3735 2
5973 9
1826 8
9975 2
522 1
9550 9
8049 2
6407 5
2824 9
1372 2
9518 1
2738 3
599 5
4208 9
2468 5
855 1
1909 2
3708 9
9912 6
6238 7
6565 3
9929 7
5840 6
245 8
3761 8
8894 6
1610 5
3683 3
6319 5
8067 6
2123 8
7405 5
7371 2
700 6
1400 8
2903 5
3867 6
1428 6
2570 5
5983 2
9722 9
1472 5
8125 7
3777 9
9825 3
610 1
2981 8
2213 7
3908 4
2570 7
2537 5
4222 7
5387 5
4575 8
7744 5
4473 4
1380 3
4774 1
5260 6
1831 5
5826 9
6788 7
5123 5
2914 7
6117 8
9302 6
5473 4
9035 3
2679 4
150 8
3303 7
2406 1
9735 3
8097 2
1715 5
3222 5
9784 4
7180 5
7014 7
9620 4
7516 7
807 9
8144 6
8642 1
4132 3
8206 3
4585 8
3255 9
2277 7
8403 4
5395 6
4691 9
9649 7
5971 6
3727 7
1980 2
6615 6
4374 5
6639 8
9413 7
9974 4
9317 3
1459 3
7274 5
9436 3
816 4
1992 6
9928 2
6101 4
443 9
7619 1
3108 1
5036 7
6450 4
5550 8
9540 1
9108 2
837 5
857 5
5301 4
8874 7
4956 9
5456 1
4035 8
1208 1
5525 6
4512 6
1384 7
2790 1
68 2
9656 9
6743 2
8689 7
3023 1
3891 3
7896 3
231 3
2951 5
2383 2
5281 1
5044 5
8125 8
2648 1
3999 6
4859 5
2355 5
6848 6
333 4
4453 5
1908 7
1503 6
2351 5
4298 9
9329 6
8348 5
9767 9
5043 2
5707 9
7729 8
2153 3
8389 4
2294 9
286 2
4967 6
1085 8
1676 6
9522 3
7825 9
4382 3
1223 2
8545 4
4951 8
1188 6
1275 6
40 1
5472 1
7313 2
4968 3
2381 5
2801 1
5940 5
3963 3
5725 1
9888 2
899 3
8948 2
2365 6
246 2
381 4
1532 7
6660 2
9329 5
4972 5
3072 6
337 4
5737 4
5176 8
491 2
1139 9
4156 5
3841 3
6527 8
5997 7
4495 4
3812 1
4993 3
2490 5
1896 3
1501 3
6815 5
7070 5
7330 4
3206 8
4836 1
5138 8
9579 9
1787 3
2764 2
2719 6
6343 5
3167 8
8360 5
2852 3
8732 7
4334 7
4351 9
3534 6
9476 5
8612 5
6030 2
7383 3
4869 3
2486 6
7987 6
4278 1
569 1
5669 2
1396 6
4228 1
48 2
1691 4
1902 6
897 2
498 2
3508 1
5594 4
6077 9
9425 7
5741 9
2189 3
2056 3
9400 8
4523 2
9630 7
7689 2
4666 6
7142 4
8219 2
8018 4
5290 4
2309 5
451 4
4649 3
160 5
5294 6
41 6
3110 2
4800 3
5981 5
7839 3
2780 6
4362 3
7156 7
1573 3
530 4
6838 3
7919 4
5706 5
