spr+ ruk trajanje
356679 40 8
145309 28 11
491893 47 7
446465 9 11
357621 35 8
238787 34 1
282603 15 10
121204 12 7
12772 26 8
74886 11 6
75720 6 9
84116 35 2
469243 18 2
199104 4 9
261753 44 6
126644 28 2
459044 17 4
243839 7 10
299731 7 9
162608 41 11
331303 37 7
40954 29 8
340054 33 8
261744 8 5
85541 20 7
342645 46 11
316835 37 4
458017 38 9
65092 12 10
180416 25 3
486089 4 9
134456 7 4
10782 39 1
31862 19 11
93460 2 2
132742 30 3
237999 12 11
454237 46 7
181608 21 7
37718 40 4
133851 12 11
92936 12 5
282011 33 7
413065 15 4
335718 13 9
35823 28 10
157908 49 9
7017 37 2
40273 12 3
321737 3 9
116393 46 7
188698 38 7
3319 38 11
327761 45 4
279077 43 9
408647 47 6
295235 16 10
182937 43 4
152238 18 1
418419 41 9
365754 22 6
414176 33 2
171817 15 9
403469 39 10
248217 32 2
294271 13 1
139640 21 6
234302 25 8
342430 1 1
432076 16 4
428200 16 4
271838 48 8
285166 36 10
460784 1 11
164638 26 5
188205 31 6
231093 7 8
148510 47 3
408444 11 6
124520 44 4
483682 32 1
116840 7 8
258072 36 1
485020 43 7
111337 24 5
218608 32 2
113194 42 6
307140 9 2
22034 26 10
238329 30 3
89719 35 8
98501 5 3
346879 19 8
76571 3 9
87984 15 7
151387 35 10
128721 19 8
175209 48 3
458893 26 2
69699 11 9
328704 43 8
442238 2 2
224915 4 4
212687 49 3
444613 11 3
64011 37 10
459916 46 1
222090 29 2
189672 40 6
230587 32 11
7085 30 9
5199 5 10
339876 18 7
163102 8 1
314740 22 3
477733 40 6
97474 32 8
152422 39 11
249061 15 4
437515 7 9
379711 41 5
20160 21 3
154553 31 11
157473 47 4
240430 24 1
48933 37 5
455975 4 11
75720 46 3
17755 48 7
462830 24 6
488291 19 8
456837 33 1
478434 9 7
12429 39 11
496274 15 7
105556 16 8
380424 28 3
423359 46 6
371132 8 11
233704 12 6
153233 25 10
122147 18 1
55548 17 7
385197 10 2
48664 42 9
393267 12 4
419372 41 11
24405 10 8
170419 12 8
