mbr+ god plt
7137 1993 3495
7425 1994 2477
5916 2003 1363
7772 1997 2675
6527 1990 2219
7092 1994 1337
4817 1998 2004
4202 2000 3327
3862 1999 4306
9692 1997 3794
8400 1999 3657
7184 2000 3942
3178 1998 3264
8418 1997 3701
4013 1990 1820
5141 2000 1262
9608 1998 1505
6550 2002 1875
4228 2003 3573
4130 1998 1432
6035 1994 2923
4233 1991 1501
6812 1996 4184
5260 1998 3572
9789 1999 1179
6168 1991 3643
3922 2003 3351
8478 1990 2620
9441 1994 4741
8291 2000 3585
6157 1990 2111
8445 2000 1762
5550 1992 4812
3513 1998 4672
9772 1997 1270
4841 1990 1315
4958 1990 2470
5988 1993 4531
9806 1995 3106
6043 1993 4143
7606 2001 4596
9471 1994 2951
3990 1998 3006
7135 1990 4588
4452 2003 4220
6772 2003 2377
6618 2000 2092
5797 1998 2129
6689 1997 1306
7460 1991 2066
5606 1996 3990
5598 2002 3679
6602 1992 1683
8469 1994 4902
7819 2000 2962
3788 1997 1138
8874 2000 4407
7559 1999 3449
9757 1992 4606
9603 2003 4369
8000 1995 3521
9093 1998 3282
4280 1999 1009
7397 2002 2124
7834 1993 4307
9279 1995 3716
4180 1995 4824
3326 1993 1342
7413 2000 1256
4640 1992 3526
4029 1996 4774
3924 2000 3696
5497 1993 2367
5128 2001 3596
6111 1999 4855
7633 1990 3092
3047 1992 1865
8946 1993 1058
7028 1991 4304
7239 2003 1602
4131 1995 4043
5356 1998 4931
4699 2001 2097
5447 1993 2879
6362 2002 4669
5382 1997 2320
4845 1997 1426
8760 1997 4000
7925 1998 3542
6723 1991 1298
4679 2003 2983
3481 2002 4676
6325 1995 3154
4740 1990 1356
4667 1999 3171
4821 1993 2362
4175 2001 1833
7422 1994 3080
5803 1994 4593
9670 1999 4268
7611 1998 1763
4483 1993 3024
5698 1997 1705
3124 1992 2532
4516 2000 4760
4208 1997 2215
9492 1993 2379
5271 1992 1546
7335 1991 3763
7231 2000 2854
3184 1996 1874
4794 1996 4667
7958 1995 1210
5726 1993 4724
6026 2001 2736
4878 1992 2882
7992 2000 4059
5002 2002 4698
7954 2002 3236
4145 1992 2439
7070 1998 3183
5670 1996 3071
7210 1997 3040
9142 1990 1148
6352 2003 1846
5848 1998 4701
4678 1993 1011
5102 1993 4141
5751 1992 4914
9659 1992 4863
5491 1998 4397
4983 2001 2614
6185 2000 2632
5176 1995 3008
6458 1993 3552
5505 1997 1554
5354 1992 2511
6693 1995 3852
9284 2000 3311
8150 1997 2177
8043 1999 2818
7418 1993 2519
5231 1996 4511
8736 1999 1366
4170 2002 4131
5936 2000 2233
5938 1992 2203
3265 1995 2378
5085 1993 2691
5714 1991 2140
8825 1993 2606
9395 1998 4223
9442 1990 3593
8440 1995 3903
8437 2000 4282
6810 1998 2821
7403 2001 4827
3368 1997 2562
4711 1995 3699
5454 1998 4422
6777 1992 4946
4537 1994 1556
4554 2000 4559
7957 1997 4945
5168 1995 2696
7776 1997 4189
6879 1997 4715
5800 1998 1183
7046 1996 4370
