mbr+ spr+ brc
7316 430254 8
8010 331486 4
4308 474953 11
8912 289007 3
2303 215899 8
8441 473342 9
5975 466726 11
2092 78407 8
6370 315425 4
415 142755 3
1083 349982 9
8526 338082 11
9735 149229 3
9198 33471 8
237 162576 1
4219 432662 11
5461 368919 11
9272 188584 4
232 276239 2
6198 50261 10
9420 302089 7
6454 359592 11
7020 119506 7
7121 138611 4
1499 276851 1
8308 170879 11
2473 430701 4
918 285297 4
7930 230715 1
4369 146915 5
5184 252878 11
373 154338 5
4216 18276 2
9166 400396 5
6905 430078 1
1800 155466 11
1258 433643 10
4433 11535 11
5846 140331 6
9615 260987 7
1590 415233 4
3356 455833 2
6030 280530 7
2175 350841 2
1416 103456 7
946 44258 2
9726 326241 9
741 180731 3
9123 399750 9
3235 375266 5
5989 106331 3
9710 126291 7
1649 223076 8
2559 187978 7
3450 179718 10
9302 450475 2
3069 401244 9
5445 211338 5
1965 474429 7
3028 93078 8
3927 193124 2
9307 22391 10
7953 143392 9
3667 396304 6
9670 89568 9
7638 118650 4
9641 417086 9
9824 372985 2
609 163657 1
140 135838 7
5017 135480 5
9742 466032 8
2147 248209 11
8498 293736 5
4139 447727 7
7873 21433 10
9832 83335 5
61 446532 11
5024 152289 1
2976 422935 10
3118 333346 5
9896 407441 5
4686 483257 3
7112 146288 5
4796 448217 11
3822 284624 5
9776 309011 1
2504 5873 2
9945 167396 5
3689 410424 1
861 422357 8
7986 335978 2
1119 209666 5
4930 15854 6
7611 225841 4
3194 190152 3
6047 150191 1
6212 174635 1
705 273418 7
51 85809 1
9315 499404 9
6403 148301 5
497 8653 10
2021 434812 4
3235 45403 5
585 209224 4
7765 123324 5
3428 358374 11
5285 330073 11
8868 276105 6
6865 67575 4
5152 36518 2
7372 205260 6
3974 60601 5
3567 133075 9
5231 368393 5
2198 287470 10
5518 434544 4
9369 247722 10
3498 12797 8
1283 302046 8
4920 333828 4
9499 492898 7
1064 352881 10
4630 376192 11
1879 215199 9
3494 183044 8
9266 368643 4
4964 469352 7
4243 201 4
2773 187744 8
4259 21411 4
2681 295612 9
357 255971 9
4000 183117 7
220 215183 9
4713 417618 3
6273 425201 4
983 24569 7
6820 351323 1
1629 467876 1
9475 205292 9
6752 298296 6
2796 298717 11
9939 54541 10
3968 189024 2
8835 475300 6
8646 351341 5
8113 434444 8
6786 485473 10
7471 219645 7
7259 107451 2
9274 220674 8
6695 214867 11
8536 181998 3
4000 488948 8
4274 47420 1
402 463905 9
488 128861 10
9894 429809 1
7954 356011 7
666 62645 10
3993 52628 1
753 396000 8
8680 321046 1
4515 458219 6
7606 332226 7
6793 252426 6
2724 295834 10
9118 6822 1
6176 463199 9
6813 415962 4
8773 437915 5
5520 136977 8
8725 264292 4
6009 330172 5
6884 256691 2
10 10160 9
6028 287020 11
8023 351158 3
1082 19416 10
6328 91783 1
4104 27099 4
585 39153 3
8570 272763 10
1344 89961 6
5397 108733 6
8652 450074 4
202 44321 11
6960 25174 6
6167 491778 2
3829 360747 11
1725 402497 11
7023 267449 1
279 13482 3
1699 362856 10
68 123135 9
9708 484165 1
5644 78493 6
3610 59988 9
9680 227025 9
721 315266 8
8519 447140 1
3446 308171 1
7494 6379 2
2942 457818 11
7592 288648 7
928 19452 1
3099 57597 5
3646 356214 1
5798 466176 10
5882 218280 1
9227 417498 4
4851 61818 9
7638 153672 10
262 455811 5
1418 429591 1
64 382844 7
5935 479888 1
7692 337627 1
127 166219 5
3374 68398 3
7258 26231 1
7364 178574 6
6802 42090 3
2463 298414 2
9165 74163 2
1627 100432 11
2227 21809 5
7876 203256 6
9647 266578 1
9176 495937 5
6364 197528 8
2626 314956 6
9956 301790 3
8929 245295 2
9499 432502 4
3480 328951 11
5632 43646 11
8772 480624 6
1131 249481 3
4167 16483 3
526 161464 3
606 4356 10
9754 293156 4
124 443604 7
2106 277882 1
1595 421630 11
7035 192632 3
6751 266494 10
4093 303561 9
5650 229092 3
8206 480536 2
7007 198282 1
9727 486705 10
4642 170442 6
8092 224629 9
9593 492719 9
9389 308034 3
9992 237173 9
3222 108904 11
9486 424532 3
3629 52607 1
8159 320183 8
5608 237619 6
5510 72716 2
6852 364794 3
4872 210512 10
3671 193733 6
4151 323502 3
8015 321017 11
1413 134376 6
5126 26481 3
9571 111584 7
3357 342280 6
8690 436412 3
6472 460700 4
6039 93127 7
2801 356681 9
1288 138894 7
5189 459888 3
5630 310548 2
4564 169228 4
4141 176447 2
170 355450 7
5875 494663 6
9969 169645 8
488 355715 4
7910 338258 1
1100 162276 10
5975 323755 3
9138 211403 11
9660 409183 6
5429 442633 11
9734 158000 1
1138 290890 11
6545 357418 11
8376 265515 1
8118 132500 10
6440 136732 11
370 395472 8
3289 105250 3
6861 44042 7
3086 402269 11
2112 120247 10
6506 199823 10
6405 334695 3
9368 48023 7
7465 65805 1
5619 460824 11
7104 269093 7
1180 342007 10
3850 361608 5
5145 311837 8
6417 115344 7
6381 245390 1
8556 330360 4
7997 143497 3
429 147835 11
9388 103710 10
6374 426744 8
495 291573 1
1754 455218 2
4722 169391 3
2364 228386 5
5658 305372 3
1115 352796 4
8084 168077 6
47 351099 8
2478 166535 9
2504 181552 3
4587 272147 4
6673 436356 11
666 443901 11
1991 160718 11
8653 498929 9
3175 195899 1
7614 33387 11
9447 408837 9
7276 169401 11
6365 188440 4
5508 408089 3
116 373195 1
7647 35397 1
2793 266224 9
4224 14443 1
3616 29692 6
1270 63311 2
881 286765 10
6813 206585 11
9060 35219 2
1686 40411 6
2894 184694 11
3537 77029 4
2238 484576 5
1050 155896 6
3336 20241 4
7014 21151 8
8875 59386 1
3476 379660 11
6693 459688 8
2495 343674 3
8937 414794 1
8220 71296 10
7000 25121 4
1294 322692 7
7121 93396 6
1717 455478 3
8226 158000 2
3611 490681 1
1938 109117 6
9394 118082 4
6602 388939 1
410 74467 6
4884 15300 7
9157 172214 7
3233 394249 7
6077 102796 1
8795 129550 11
791 148310 6
5262 488912 5
1648 145462 9
9093 455437 1
7271 449459 11
4736 380951 11
8201 365717 9
3026 119758 10
2444 103917 10
7523 185381 3
2283 168632 2
5254 331405 8
4617 272829 9
6682 84389 6
7928 271720 8
4382 201976 3
7473 208096 6
4 391866 5
5939 21274 3
9198 384315 10
1777 86166 6
6507 388768 9
3945 221578 6
7935 57798 9
6542 215658 6
5517 202748 11
4703 64003 8
279 129594 11
754 268061 1
9379 129239 9
9300 187708 11
1632 235935 8
7950 120538 9
8449 196172 6
4724 190137 9
9550 452037 1
1323 474848 6
3713 120447 3
4682 197869 10
9075 30396 4
8675 192664 9
5213 238910 6
7175 421660 10
3555 347103 6
7618 56054 11
9017 34669 2
8959 196854 1
6902 244806 2
3648 180152 10
9688 127505 4
5886 67278 9
1820 287750 8
8406 478777 1
1953 310630 8
1330 476008 2
7868 272312 7
713 275344 2
5681 181672 11
4012 478050 5
6235 249006 9
6229 110312 9
5243 415844 2
5764 68823 2
9085 321768 6
2484 181575 7
9929 151884 5
9112 118056 2
3730 189974 8
2821 102531 8
6124 412689 3
2108 474973 6
5833 72134 5
2432 84964 8
7259 160575 4
7934 382832 3
631 263628 10
8563 140854 2
3679 235216 4
1852 258879 6
9226 298729 11
4239 486583 2
4086 425406 1
6858 364881 11
5760 331132 6
970 205134 7
6149 71455 10
4997 19335 3
7183 160409 5
1353 147716 2
5940 122858 11
8792 386561 1
34 247836 7
3032 271316 7
6111 468662 2
8011 10483 3
1780 196408 2
5827 526 9
8463 164243 11
7864 223495 9
8758 334603 7
2195 304419 8
699 208937 11
7539 292961 5
6555 69611 6
5891 246904 2
8466 80740 1
6492 386860 2
5992 390584 11
5891 142371 11
4464 80105 11
5691 189694 1
6589 373188 7
849 74872 10
1780 10900 1
7647 400527 1
8814 144703 8
2117 295406 10
9654 136408 6
7193 119093 5
6932 349567 8
7305 180314 2
4080 255875 9
7762 48506 11
3525 384164 9
9690 66434 6
729 442314 5
8158 193862 3
6723 110423 4
5274 197933 2
4858 308502 11
867 405133 4
738 88157 6
856 43056 7
4760 189664 5
440 389839 9
4236 380376 2
2350 10037 10
9783 313734 10
7719 246688 11
590 51990 3
7183 37811 6
8866 129308 8
4744 179816 3
5323 287670 6
9332 108509 1
9917 198498 10
707 410025 5
276 380371 1
8607 282735 3
2197 372668 4
3125 20578 1
7234 328908 2
8943 314871 4
7562 346297 5
3925 244314 7
4753 486802 9
9294 226137 9
7986 59127 5
4676 483861 11
2456 167886 2
3337 326580 6
223 393850 11
9678 3524 10
4250 172334 6
1933 352313 4
8333 167131 5
1698 149800 9
4108 248329 6
3648 446381 7
5570 200936 4
2856 272847 6
8641 131397 2
1647 473077 6
456 350140 6
7071 417858 1
842 376714 9
3705 111583 4
5711 163813 8
9041 200979 7
7424 8866 11
4045 11129 8
4837 374768 10
6553 230034 7
3750 39258 6
188 411132 6
7137 186509 2
9205 324011 7
9907 404687 6
7293 126258 1
7542 109014 4
7143 113599 9
7298 244003 7
4520 248206 9
6908 290499 9
904 317350 5
5216 230208 8
9937 131992 2
7559 107771 6
1024 154958 7
4896 373264 6
7445 476359 5
1984 201886 3
5422 115546 7
8627 351828 2
5168 487532 9
4276 318271 2
2586 64487 11
7486 188337 5
8820 208769 11
3690 391947 3
6528 304330 11
3895 172764 10
1082 174274 10
3852 165216 1
8747 58352 6
9031 130997 4
6850 42621 7
2275 94444 11
8551 489544 8
1371 248743 4
5215 439428 3
1345 476032 9
2066 197908 1
1492 40821 11
1552 306904 1
5305 411099 6
5836 26182 8
4383 264008 4
6736 180735 6
1431 410456 10
8541 261161 4
2938 323015 4
2476 326919 9
96 28942 9
7270 434524 11
4162 157085 6
7006 166235 9
4270 446405 8
7151 473274 11
4534 332714 3
5187 376903 8
4431 219491 7
2665 202267 6
827 369805 2
1250 265121 8
4426 462747 3
7753 264929 3
1631 113311 11
16 437980 5
4296 173181 7
7450 29296 3
3271 497339 7
6025 187910 10
3078 230424 9
2955 379349 7
7188 181771 11
7515 416812 1
979 271427 11
6650 345128 2
2393 413693 7
7440 153408 9
3813 160050 7
8626 416999 7
3908 264137 4
9071 107874 10
9573 47253 10
9999 38858 3
5198 235308 5
8893 269426 10
1269 18425 4
6187 190550 8
9640 418019 11
9266 290962 8
5835 249767 6
7053 206725 9
4244 203567 3
782 474439 8
3747 307392 4
2503 94880 1
4563 181543 7
4628 453383 5
6648 333586 2
5802 482776 6
3529 92397 3
7109 376497 5
1794 454841 9
4327 443261 8
5278 45588 9
7742 63584 10
8408 295638 7
5590 169388 10
7982 219630 6
3323 284744 5
3446 388220 4
5592 282951 9
6679 410791 7
3831 404360 2
9120 318744 3
3587 468395 5
4221 415417 8
1010 459204 11
3141 465102 4
9263 1209 10
8806 33078 9
3044 458895 9
523 270206 8
9957 371414 11
640 431008 2
8804 335204 1
5538 247288 11
4048 208116 9
9870 318219 9
6133 491272 1
7118 213510 8
4114 31338 10
9050 274575 3
1989 93871 2
1456 145894 7
8843 2609 1
7483 421550 2
7274 59849 5
5316 366660 4
4661 158416 7
9027 270472 3
3786 45421 4
3614 459098 5
6277 339212 7
339 241234 5
1811 258133 5
7988 62138 5
9655 390510 3
2676 120702 6
9509 274309 1
9728 86347 7
7504 39238 6
7980 456580 2
4923 413951 2
3724 489555 7
59 16439 4
4180 268711 6
6183 166193 1
9668 221090 1
4310 148031 8
1734 377803 10
3271 493503 7
9290 85600 10
9802 119628 7
6649 280002 9
3673 367041 7
5120 378766 5
2150 341993 4
2757 67418 2
9720 424896 7
4624 442597 11
2755 143744 10
3221 417899 3
9316 456602 1
7191 133020 11
9697 289871 11
2029 158390 1
4056 88433 8
107 240185 8
6907 63403 6
4085 299340 11
796 487357 2
8828 203752 10
4161 355657 6
3441 197767 8
3468 1077 2
3264 10453 10
5293 263610 11
5876 226399 9
9457 387000 1
2096 424552 5
7395 136187 8
345 388188 4
332 119415 1
6196 94118 2
8091 436701 11
710 432572 3
6488 343198 4
6390 203458 2
7434 255932 9
9770 308647 3
5770 99674 3
5938 258626 5
5424 321169 2
5112 204704 11
6115 283565 6
4777 421353 3
9601 361228 11
3252 473859 9
5198 61199 9
8625 220075 9
1839 307864 1
3316 74884 11
2762 209535 7
1098 107163 6
8250 265973 10
1122 488896 11
5212 441308 2
54 290763 2
7366 307642 8
8085 316972 2
8614 304450 4
3426 168910 5
6568 252775 8
1051 190641 1
1481 292488 1
382 404236 11
4012 17861 9
6530 218439 3
1706 353604 8
3513 253001 1
687 173451 4
6437 424181 8
6081 159522 6
6062 407922 2
9589 208309 1
6807 106195 3
5433 234748 9
4339 470621 5
8497 440486 3
68 158678 6
1498 157624 4
9218 169719 11
9663 185138 9
4879 415631 2
3976 163115 5
9181 58607 2
2306 325439 10
4239 327830 10
8860 466265 9
9346 33989 5
9607 47351 4
1846 118075 7
5531 441034 11
1796 37498 1
9991 310489 10
2480 232599 4
520 272674 2
2701 455550 10
3202 185533 9
6877 442484 3
4572 137273 2
9666 135052 2
5882 476688 3
369 111916 9
3586 50201 1
4384 192149 2
813 289724 3
2707 378180 9
5016 352216 6
1133 493688 6
7585 173052 1
6990 30960 2
8951 407735 10
9485 460235 11
1166 84100 1
1822 370091 5
8072 79123 7
2097 132527 6
4802 72292 8
9295 145690 6
3414 231162 2
8285 63020 11
2916 348400 3
9819 317457 2
9213 287959 2
5258 101609 3
6394 242958 2
1855 357557 8
1843 129227 8
6479 357090 10
6531 475175 8
3587 73694 1
5674 99996 7
4931 108209 4
2355 291508 1
3334 274311 6
7056 11675 7
1075 258884 1
6181 389520 7
6008 209708 3
8804 217007 10
1567 30300 10
284 63099 3
7995 204153 10
386 205402 10
1648 402926 3
8180 445329 11
8213 289496 3
8146 218998 11
1150 325766 5
1581 342927 11
2153 113144 4
9709 165915 10
6154 371119 3
2182 372327 6
3352 445842 2
4562 101392 6
6254 392656 8
6515 256721 2
5454 19091 11
2323 100058 8
4475 309519 7
8498 389437 3
2071 319784 1
6 45288 4
5720 257032 7
2856 82725 7
5266 481618 3
6896 308188 6
3104 103458 8
4381 391724 3
6198 99611 3
5448 274957 11
4580 137899 6
9067 257058 10
1142 103006 6
1246 337550 10
7568 256154 11
243 118804 1
2762 485616 4
5245 429210 11
3383 72039 6
8030 302446 9
6219 330692 3
7039 205071 9
4156 203819 9
1996 239659 6
4663 69566 4
9868 49454 9
1711 336770 10
3284 245753 7
6906 26616 11
9918 2659 3
6606 235965 8
5237 359144 4
7518 457990 2
6006 131610 4
9211 167258 3
2238 64711 11
9927 154559 3
9055 484166 1
503 367728 9
7336 56363 11
3947 114357 3
7675 360578 6
1443 91184 1
2744 26284 1
1247 295378 7
9940 124601 8
7034 201702 9
4490 290285 9
9009 416779 8
4915 443982 2
408 462813 2
6389 279378 1
6173 56956 4
3573 335488 6
7032 107955 4
6121 223213 5
9321 376564 8
2675 338578 3
8215 249603 2
9945 300744 4
6041 358204 7
3901 350372 4
2982 441833 9
6792 473851 2
5012 474168 1
4792 476118 1
4348 24134 4
9924 64517 11
2754 239153 10
7718 53572 3
3368 321198 4
3841 289925 8
9927 332113 3
8802 56866 6
2707 284484 11
3156 388914 4
2814 82081 1
4825 158819 10
8396 380148 9
1990 267616 2
2392 125854 8
4216 329636 7
6388 386476 6
4224 125438 10
4160 991 2
388 93195 10
1885 383895 3
2692 469326 5
9953 289130 5
4709 100478 9
4738 474053 10
1759 399629 6
9797 10213 1
2090 206076 4
9392 135692 5
9215 410308 4
2016 173319 11
5500 404016 1
3074 494523 9
282 499560 9
1386 422554 6
2702 152385 4
1270 335908 6
656 244930 11
8315 101169 10
2121 138098 9
1991 154079 4
455 206852 11
3126 394810 5
6409 457118 3
7362 204264 1
3597 285187 2
7274 286971 6
884 457260 6
4062 179953 10
2144 110898 6
7349 146893 10
8716 308244 10
6580 249864 1
401 235813 4
4782 313601 6
4673 136479 3
3213 77826 8
4897 407546 9
2623 362059 3
1853 195647 1
8139 64045 5
1897 206923 2
9003 39440 10
1448 448293 1
7912 51013 10
4868 104928 5
3123 467446 6
6583 370207 1
1786 64565 5
9519 117771 8
9477 31003 9
